CollectDate,Year,Month,LabSampleNum,Locator,Depth,Parameter,Value,Units,Qualifier,MDL,RDL,Text
2000-01-19T18:08:00Z,2000,1,L17106-2,A319,NA,"pH, Field",NA,pH,,NA,NA,meter failed
1991-03-12T08:00:00Z,1991,3,9106512,A319,1,Temperature,5,deg C,,NA,NA,5.0||King County Nstream Database/B53311
2015-11-12T17:57:00Z,2015,11,L64151-3,A319,NA,Nitrite + Nitrate Nitrogen,0.354,mg/L,,0.01,0.04,
1983-08-18T07:00:00Z,1983,8,8315398,A319,1,Nitrite + Nitrate Nitrogen,0.263,mg/L,,NA,NA,.263||King County Nstream Database/RS4
1985-12-12T08:00:00Z,1985,12,8515610,A319,1,Orthophosphate Phosphorus,0.014,mg/L,,NA,NA,.014||King County Nstream Database/RS4
2003-10-13T17:00:00Z,2003,10,L29849-2,A319,NA,Fecal Coliform,58,CFU/100ml,,NA,NA,
1976-12-28T08:00:00Z,1976,12,7615641,A319,1,Fecal Coliform,97,ORG/100ml,,NA,NA,97||King County Nstream Database/RVL
1979-05-22T07:00:00Z,1979,5,7915355,A319,1,Fecal Coliform,11,ORG/100ml,,NA,NA,11||King County Nstream Database/RVL
1988-08-10T07:00:00Z,1988,8,8808868,A319,1,Nitrite + Nitrate Nitrogen,0.258,mg/L,,NA,NA,.258||King County Nstream Database/B53311
1988-12-07T08:00:00Z,1988,12,8811481,A319,1,Orthophosphate Phosphorus,0.033,mg/L,,NA,NA,.033||King County Nstream Database/B53311
1995-05-09T16:35:00Z,1995,5,L6051-2,A319,NA,"pH, Field",7.44,pH,,NA,NA,
2004-03-10T18:00:00Z,2004,3,L31229-2,A319,NA,Temperature,6.6,deg C,,NA,NA,
2020-02-12T17:57:00Z,2020,2,L74057-3,A319,NA,E. coli,13,CFU/100ml,,NA,NA,
2003-07-14T16:57:00Z,2003,7,L28767-2,A319,NA,E. coli,50,CFU/100ml,,NA,NA,
2016-01-13T17:01:00Z,2016,1,L64540-3,A319,NA,Temperature,5.9,deg C,,NA,NA,
1979-02-28T08:00:00Z,1979,2,7915147,A319,1,Nitrite + Nitrate Nitrogen,0.445,mg/L,,NA,NA,.445||King County Nstream Database/RVL
2021-11-08T17:47:00Z,2021,11,L78097-3,A319,NA,"pH, Field",7.15,pH,,NA,NA,
2019-08-14T16:51:00Z,2019,8,L72764-3,A319,NA,"pH, Field",7.53,pH,,NA,NA,
1998-08-11T16:45:00Z,1998,8,L13902-2,A319,NA,"Dissolved Oxygen, Field",9.8,mg/L,,NA,10,
1988-09-14T07:00:00Z,1988,9,8809689,A319,1,"pH, Field",7.5,pH,,NA,NA,7.5||King County Nstream Database/B53311
1979-11-26T08:00:00Z,1979,11,7916096,A319,1,Conductivity,125,umhos/cm,,NA,NA,125||King County Nstream Database/RVL
2005-09-14T16:52:00Z,2005,9,L36785-2,A319,NA,"pH, Field",7.4,pH,,NA,NA,
1995-02-16T17:35:00Z,1995,2,L5358-2,A319,NA,"pH, Field",7.16,pH,,NA,NA,
2002-02-12T17:56:00Z,2002,2,L23319-2,A319,NA,Nitrite + Nitrate Nitrogen,0.514,mg/L,,0.02,0.04,
2000-01-19T18:08:00Z,2000,1,L17106-2,A319,NA,"Conductivity, Field",72.1,umhos/cm,,NA,NA,
1996-02-13T17:50:00Z,1996,2,L7872-2,A319,NA,Temperature,5.3,deg C,,NA,NA,
2016-01-13T17:01:00Z,2016,1,L64540-3,A319,NA,"Conductivity, Field",78.2,umhos/cm,,0.5,10,
1982-05-20T07:00:00Z,1982,5,8215338,A319,1,Dissolved Oxygen,11.4,mg/L,,NA,NA,11.39||King County Nstream Database/RS3
2021-07-14T15:58:00Z,2021,7,L77285-3,A319,NA,"Dissolved Oxygen, Field",9.12,mg/L,,0.5,1,
2019-08-14T16:51:00Z,2019,8,L72764-3,A319,NA,Total Alkalinity,33.3,mg CaCO3/L,,1,5,
1991-12-17T08:00:00Z,1991,12,9115100,A319,1,Ammonia Nitrogen,0.014,mg/L,,NA,NA,.014||King County Nstream Database/B53311
2004-04-14T16:00:00Z,2004,4,L31659-2,A319,NA,Nitrite + Nitrate Nitrogen,0.145,mg/L,,0.02,0.04,
2018-04-11T15:59:00Z,2018,4,L69770-3,A319,NA,"Conductivity, Field",47.3,umhos/cm,,0.5,10,
2003-06-11T17:05:00Z,2003,6,L28492-2,A319,NA,"Conductivity, Field",63.9,umhos/cm,,NA,NA,
2021-12-15T17:34:00Z,2021,12,L78226-3,A319,NA,Turbidity,1.78,NTU,,0.2,0.5,
2006-04-12T16:57:00Z,2006,4,L38672-3,A319,NA,Total Suspended Solids,4.1,mg/L,,0.5,1,
1979-07-03T07:00:00Z,1979,7,7915526,A319,1,Ammonia Nitrogen,0.028,mg/L,,NA,NA,.028||King County Nstream Database/RVL
1998-06-23T16:40:00Z,1998,6,L13534-2,A319,NA,Temperature,13.5,deg C,,NA,NA,
1983-02-17T08:00:00Z,1983,2,8315075,A319,1,Fecal Coliform,80,ORG/100ml,E,NA,NA,80||King County Nstream Database/RS4
1976-04-27T07:00:00Z,1976,4,7615274,A319,1,Ammonia Nitrogen,0.002,mg/L,,NA,NA,.002||King County Nstream Database/RVL
2015-01-14T17:52:00Z,2015,1,L61870-3,A319,NA,Turbidity,9.48,NTU,,0.2,0.5,
1978-10-10T07:00:00Z,1978,10,7815367,A319,1,Dissolved Oxygen,10.1,mg/L,,NA,NA,10.10||King County Nstream Database/RVL
1997-09-09T17:00:00Z,1997,9,L11678-2,A319,NA,"pH, Field",7.3,pH,,NA,NA,
1993-06-15T19:35:00Z,1993,6,L1284-5,A319,NA,Conductivity,61,umhos/cm,,0.5,1,
1978-06-27T07:00:00Z,1978,6,7815231,A319,1,Temperature,15,deg C,,NA,NA,15.0||King County Nstream Database/RVL
2016-09-14T17:42:00Z,2016,9,L66014-3,A319,NA,Turbidity,1.05,NTU,,0.2,0.5,
1987-11-10T08:00:00Z,1987,11,8713161,A319,1,"pH, Field",7.5,pH,,NA,NA,7.5||King County Nstream Database/B53311
2018-05-16T17:12:00Z,2018,5,L70038-3,A319,NA,Total Suspended Solids,3.5,mg/L,,0.5,1,
2000-09-12T16:49:00Z,2000,9,L18591-2,A319,NA,Orthophosphate Phosphorus,0.00665,mg/L,,0.002,0.005,
1991-09-24T07:00:00Z,1991,9,9112244,A319,1,Turbidity,1.3,NTU,,NA,NA,1.3||King County Nstream Database/B53311
2019-04-10T17:02:00Z,2019,4,L71992-3,A319,NA,Ammonia Nitrogen,0.0073,mg/L,<RDL,0.002,0.01,
1999-09-14T17:31:00Z,1999,9,L16219-2,A319,NA,Conductivity,81.4,umhos/cm,,0.5,1,
2021-03-10T17:49:00Z,2021,3,L76516-16,A319,NA,"Dissolved Oxygen, Field",12.2,mg/L,,0.5,1,
2021-01-13T17:18:00Z,2021,1,L76194-3,A319,NA,Orthophosphate Phosphorus,0.0168,mg/L,,5e-4,0.002,
1989-10-04T07:00:00Z,1989,10,8908922,A319,1,Total Suspended Solids,2.4,mg/L,,NA,NA,2.40||King County Nstream Database/B53311
1982-03-25T08:00:00Z,1982,3,8215189,A319,1,Conductivity,178,umhos/cm,,NA,NA,178||King County Nstream Database/RS3
1988-07-13T07:00:00Z,1988,7,8807566,A319,1,Storm Or Non-Storm,NA,none,,NA,NA,N||King County Nstream Database/B53311
2017-05-10T16:31:00Z,2017,5,L67690-3,A319,NA,"Dissolved Oxygen, Field",11.5,mg/L,,0.5,1,
1999-07-13T16:58:00Z,1999,7,L15911-2,A319,NA,Turbidity,1,NTU,<RDL,0.5,1,
2005-01-11T17:57:00Z,2005,1,L34352-2,A319,NA,Nitrite + Nitrate Nitrogen,0.538,mg/L,,0.02,0.04,
1979-06-05T07:00:00Z,1979,6,7915433,A319,1,Turbidity,1.8,NTU,,NA,NA,1.8||King County Nstream Database/RVL
2008-10-08T16:57:00Z,2008,10,L46552-3,A319,NA,Storm Or Non-Storm,NA,none,,NA,NA,N
2017-05-10T16:31:00Z,2017,5,L67690-3,A319,NA,"pH, Field",7.45,pH,,NA,NA,
2015-06-10T16:30:00Z,2015,6,L62914-3,A319,NA,"Conductivity, Field",81,umhos/cm,,0.5,10,
1990-08-15T07:00:00Z,1990,8,9008536,A319,1,Orthophosphate Phosphorus,0.005,mg/L,,NA,NA,.005||King County Nstream Database/B53311
2015-06-10T16:30:00Z,2015,6,L62914-3,A319,NA,Orthophosphate Phosphorus,0.00546,mg/L,,5e-4,0.002,
2019-12-18T17:41:00Z,2019,12,L73754-3,A319,NA,E. coli,6,CFU/100ml,,NA,NA,
1983-05-19T07:00:00Z,1983,5,8315221,A319,1,Total Phosphorus,0.031,mg/L,,NA,NA,.031||King County Nstream Database/RS4
2015-06-10T16:30:00Z,2015,6,L62914-3,A319,NA,Total Suspended Solids,2.8,mg/L,,0.5,1,
2008-12-03T17:58:00Z,2008,12,L47019-3,A319,NA,Turbidity,4.61,NTU,,0.2,0.5,
1992-12-15T08:00:00Z,1992,12,L146-5,A319,NA,Temperature,5,deg C,,NA,NA,
1976-12-28T08:00:00Z,1976,12,7615641,A319,1,"pH, Field",6.7,pH,,NA,NA,6.7||King County Nstream Database/RVL
1997-02-11T18:35:00Z,1997,2,L10348-2,A319,NA,"pH, Field",7.06,pH,,NA,NA,
1990-10-30T08:00:00Z,1990,10,9009713,A319,1,Dissolved Oxygen,11.2,mg/L,,NA,NA,11.20||King County Nstream Database/B53311
2005-06-15T16:37:00Z,2005,6,L35814-2,A319,NA,"Dissolved Oxygen, Field",10.8,mg/L,,0.5,1,
1979-07-31T07:00:00Z,1979,7,7915631,A319,1,Ammonia Nitrogen,0.011,mg/L,,NA,NA,.011||King County Nstream Database/RVL
1977-05-02T07:00:00Z,1977,5,7715118,A319,1,Nitrite + Nitrate Nitrogen,0.161,mg/L,,NA,NA,.161||King County Nstream Database/RVL
1992-04-14T07:00:00Z,1992,4,9209052,A319,1,Turbidity,1.5,NTU,,NA,NA,1.5||King County Nstream Database/B53311
1983-09-22T07:00:00Z,1983,9,8315464,A319,1,Turbidity,0.8,NTU,,NA,NA,.8||King County Nstream Database/RS4
1977-08-16T07:00:00Z,1977,8,7715269,A319,1,Ammonia Nitrogen,0.007,mg/L,,NA,NA,.007||King County Nstream Database/RVL
1988-12-07T08:00:00Z,1988,12,8811481,A319,1,Nitrite + Nitrate Nitrogen,0.408,mg/L,,NA,NA,.408||King County Nstream Database/B53311
1991-01-30T08:00:00Z,1991,1,9104103,A319,1,Turbidity,2.7,NTU,,NA,NA,2.7||King County Nstream Database/B53311
1990-08-15T07:00:00Z,1990,8,9008536,A319,1,Turbidity,0.4,NTU,,NA,NA,.4||King County Nstream Database/B53311
2005-10-12T16:40:00Z,2005,10,L37067-3,A319,NA,Nitrite + Nitrate Nitrogen,0.362,mg/L,,0.02,0.04,
2001-10-09T17:25:00Z,2001,10,L22312-2,A319,NA,Total Nitrogen,0.404,mg/L,,0.05,0.1,
1982-05-20T07:00:00Z,1982,5,8215338,A319,1,Total Suspended Solids,8,mg/L,,NA,NA,8.00||King County Nstream Database/RS3
1992-07-21T07:00:00Z,1992,7,9211549,A319,1,Total Suspended Solids,2.4,mg/L,,NA,NA,2.40||King County Nstream Database/B53311
1977-02-09T08:00:00Z,1977,2,7715029,A319,1,Fecal Coliform,27,ORG/100ml,,NA,NA,27||King County Nstream Database/RVL
1992-04-14T07:00:00Z,1992,4,9209052,A319,1,Dissolved Oxygen,11.1,mg/L,,NA,NA,11.10||King County Nstream Database/B53311
2006-05-10T16:19:00Z,2006,5,L38937-3,A319,NA,Fecal Coliform,12,CFU/100ml,,NA,NA,
2000-10-10T16:30:00Z,2000,10,L18990-2,A319,NA,Total Nitrogen,0.249,mg/L,,0.05,0.1,
1982-07-22T07:00:00Z,1982,7,8215487,A319,1,Conductivity,72,umhos/cm,,NA,NA,72||King County Nstream Database/RS4
1988-08-23T07:00:00Z,1988,8,8892695,A319,NA,Temperature,18,deg C,,NA,NA,18.0||King County Benthos Database/B53311
2022-04-13T16:52:00Z,2022,4,L78939-3,A319,NA,Temperature,6.08,deg C,,NA,NA,
2007-07-05T18:23:00Z,2007,7,L43111-3,A319,NA,Ammonia Nitrogen,0.015,mg/L,<RDL,0.01,0.02,
1993-11-16T18:15:00Z,1993,11,L2467-5,A319,NA,Total Suspended Solids,1.4,mg/L,,0.5,1,
2008-06-12T18:37:00Z,2008,6,L45703-3,A319,NA,Turbidity,3.39,NTU,,0.5,2,
2015-01-14T17:52:00Z,2015,1,L61870-3,A319,NA,Nitrite + Nitrate Nitrogen,0.328,mg/L,,0.01,0.04,
1997-02-11T18:35:00Z,1997,2,L10348-2,A319,NA,Total Nitrogen,0.441,mg/L,,0.05,0.1,
1993-02-17T18:52:00Z,1993,2,L499-5,A319,NA,Temperature,2.5,deg C,,NA,NA,
2002-09-10T17:27:00Z,2002,9,L25699-2,A319,NA,Ammonia Nitrogen,NA,mg/L,<MDL,0.01,0.02,
2006-03-15T18:19:00Z,2006,3,L38273-3,A319,NA,Fecal Coliform,1,CFU/100ml,,NA,NA,
1978-07-25T07:00:00Z,1978,7,7815291,A319,1,Fecal Coliform,11,ORG/100ml,,NA,NA,11||King County Nstream Database/RVL
1992-10-20T07:00:00Z,1992,10,9213909,A319,1,Conductivity,78,umhos/cm,,NA,NA,78||King County Nstream Database/B53311
1992-07-21T07:00:00Z,1992,7,9211549,A319,1,Conductivity,96,umhos/cm,,NA,NA,96||King County Nstream Database/B53311
1995-02-16T17:45:00Z,1995,2,L5358-11,A319,NA,Total Nitrogen,0.478,mg/L,,0.05,0.1,
2006-09-13T19:10:00Z,2006,9,L40204-3,A319,NA,Fecal Coliform,45,CFU/100ml,,NA,NA,
2004-08-11T16:12:00Z,2004,8,L32783-2,A319,NA,"Conductivity, Field",89.3,umhos/cm,,0.5,10,
2005-12-14T17:57:00Z,2005,12,L37746-3,A319,NA,"pH, Field",7.6,pH,,NA,NA,
1995-04-11T17:00:00Z,1995,4,L5829-2,A319,NA,Turbidity,0.6,NTU,<RDL,0.5,1,
2004-04-14T16:00:00Z,2004,4,L31659-2,A319,NA,Temperature,8.6,deg C,,NA,NA,
2022-04-13T16:52:00Z,2022,4,L78939-3,A319,NA,Total Suspended Solids,2.8,mg/L,,0.5,1,
2021-02-10T18:15:00Z,2021,2,L76378-3,A319,NA,E. coli,9,CFU/100ml,,NA,NA,
2003-08-12T16:55:00Z,2003,8,L29169-2,A319,NA,"Conductivity, Field",84.6,umhos/cm,,NA,NA,
1979-08-28T07:00:00Z,1979,8,7915724,A319,1,Total Suspended Solids,2.5,mg/L,,NA,NA,2.50||King County Nstream Database/RVL
1977-09-27T07:00:00Z,1977,9,7715299,A319,1,Fecal Coliform,41,ORG/100ml,,NA,NA,41||King County Nstream Database/RVL
1987-06-10T07:00:00Z,1987,6,8704758,A319,1,"pH, Field",7.8,pH,,NA,NA,7.8||King County Nstream Database/B53311
2018-01-10T17:15:00Z,2018,1,L69308-3,A319,NA,Temperature,6.1,deg C,,NA,NA,
2001-07-10T16:15:00Z,2001,7,L21243-2,A319,NA,Fecal Coliform,31,CFU/100ml,,NA,NA,
1981-06-25T07:00:00Z,1981,6,8115373,A319,1,Conductivity,52,umhos/cm,,NA,NA,52||King County Nstream Database/RS3
2017-07-12T16:26:00Z,2017,7,L68126-3,A319,NA,Nitrite + Nitrate Nitrogen,0.3,mg/L,,0.01,0.04,
2000-03-14T19:00:00Z,2000,3,L17472-2,A319,NA,Total Alkalinity,26.6,mg CaCO3/L,,0.2,1,
1996-01-09T17:30:00Z,1996,1,L7587-2,A319,NA,Total Suspended Solids,36.9,mg/L,,0.5,1,
1976-10-12T07:00:00Z,1976,10,7615560,A319,1,Turbidity,0.6,NTU,,NA,NA,.6||King County Nstream Database/RVL
2008-05-07T17:10:00Z,2008,5,L45569-3,A319,NA,"Dissolved Oxygen, Field",11.3,mg/L,,0.5,1,
2015-02-11T16:55:00Z,2015,2,L62058-3,A319,NA,"Dissolved Oxygen, Field",11.6,mg/L,,0.5,1,
2020-08-12T17:10:00Z,2020,8,L75129-3,A319,NA,Nitrite + Nitrate Nitrogen,0.176,mg/L,,0.01,0.04,
1977-10-18T07:00:00Z,1977,10,7715344,A319,1,Fecal Coliform,18,ORG/100ml,,NA,NA,18||King County Nstream Database/RVL
1980-03-24T08:00:00Z,1980,3,8015166,A319,1,Turbidity,5.4,NTU,,NA,NA,5.4||King County Nstream Database/RVL
2017-09-13T17:45:00Z,2017,9,L68496-3,A319,NA,"Conductivity, Field",76.1,umhos/cm,,0.5,10,
2008-06-12T18:37:00Z,2008,6,L45703-3,A319,NA,Temperature,8.6,deg C,,NA,NA,
1982-06-17T07:00:00Z,1982,6,8215418,A319,1,Nitrite + Nitrate Nitrogen,0.243,mg/L,,NA,NA,.243||King County Nstream Database/RS3
2003-03-11T19:00:00Z,2003,3,L27540-2,A319,NA,"Dissolved Oxygen, Field",12.1,mg/L,,NA,NA,
1992-10-20T07:00:00Z,1992,10,9213909,A319,1,Temperature,12.1,deg C,,NA,NA,12.1||King County Nstream Database/B53311
2019-01-09T17:30:00Z,2019,1,L71578-3,A319,NA,Nitrite + Nitrate Nitrogen,0.324,mg/L,,0.01,0.04,
2016-09-14T17:42:00Z,2016,9,L66014-3,A319,NA,Storm Or Non-Storm,NA,none,,NA,NA,N
2019-07-10T16:02:00Z,2019,7,L72673-3,A319,NA,Silica,12.7,mg/L,,0.2,0.5,
1997-11-13T17:58:00Z,1997,11,L12106-2,A319,NA,"Dissolved Oxygen, Field",11.5,mg/L,,NA,10,
1979-12-05T08:00:00Z,1979,12,7916174,A319,1,Dissolved Oxygen,12.1,mg/L,,NA,NA,12.10||King County Nstream Database/RVL
1976-09-14T07:00:00Z,1976,9,7615502,A319,1,Ammonia Nitrogen,0.015,mg/L,,NA,NA,.015||King County Nstream Database/RVL
1979-01-23T08:00:00Z,1979,1,7915003,A319,1,Total Suspended Solids,11,mg/L,,NA,NA,11.00||King County Nstream Database/RVL
1985-04-18T08:00:00Z,1985,4,8515167,A319,1,Nitrite + Nitrate Nitrogen,0.167,mg/L,,NA,NA,.167||King County Nstream Database/RS4
1995-02-16T17:45:00Z,1995,2,L5358-11,A319,NA,Fecal Coliform,36,CFU/100ml,,NA,NA,
1994-08-08T16:59:00Z,1994,8,L4243-5,A319,NA,Orthophosphate Phosphorus,0.0022,mg/L,<RDL,0.002,0.005,
2002-09-10T17:27:00Z,2002,9,L25699-2,A319,NA,"pH, Field",7,pH,,NA,NA,
2006-03-15T18:19:00Z,2006,3,L38273-3,A319,NA,Turbidity,3.3,NTU,,0.5,2,
1999-03-09T17:45:00Z,1999,3,L15073-2,A319,NA,Total Nitrogen,0.671,mg/L,,0.05,0.1,
1991-06-18T07:00:00Z,1991,6,9109597,A319,1,Turbidity,1.2,NTU,,NA,NA,1.2||King County Nstream Database/B53311
1993-10-12T15:50:00Z,1993,10,L2217-5,A319,NA,Nitrite + Nitrate Nitrogen,0.18,mg/L,,0.006,0.011,
1997-01-14T17:05:00Z,1997,1,L10178-2,A319,NA,Conductivity,57,umhos/cm,,0.5,1,
1976-04-27T07:00:00Z,1976,4,7615274,A319,1,Conductivity,49,umhos/cm,,NA,NA,49||King County Nstream Database/RVL
1996-04-17T16:25:00Z,1996,4,L8173-2,A319,NA,Nitrite + Nitrate Nitrogen,0.363,mg/L,,0.05,0.1,
1999-05-11T17:11:00Z,1999,5,L15535-2,A319,NA,Conductivity,53.4,umhos/cm,,0.5,1,
1995-05-09T16:35:00Z,1995,5,L6051-2,A319,NA,Orthophosphate Phosphorus,0.0045,mg/L,<RDL,0.002,0.005,
2016-07-13T15:42:00Z,2016,7,L65743-3,A319,NA,Fecal Coliform,68,CFU/100ml,,NA,NA,
2007-07-05T18:23:00Z,2007,7,L43111-3,A319,NA,Total Nitrogen,0.348,mg/L,,0.05,0.1,
2016-08-10T17:33:00Z,2016,8,L65899-3,A319,NA,Total Alkalinity,30,mg CaCO3/L,,1,5,
2018-05-16T17:12:00Z,2018,5,L70038-3,A319,NA,Temperature,10.4,deg C,,NA,NA,
2016-03-16T16:37:00Z,2016,3,L64997-3,A319,NA,Total Suspended Solids,2.6,mg/L,,0.5,1,
1977-06-21T07:00:00Z,1977,6,7715166,A319,1,Total Phosphorus,0.02,mg/L,,NA,NA,.020||King County Nstream Database/RVL
1995-07-18T16:15:00Z,1995,7,L6495-2,A319,NA,Conductivity,80,umhos/cm,,0.5,1,
2021-04-14T17:10:00Z,2021,4,L76706-3,A319,NA,Total Phosphorus,0.0146,mg/L,,0.005,0.01,
2008-12-03T17:58:00Z,2008,12,L47019-3,A319,NA,"pH, Field",7.1,pH,,NA,NA,
1981-06-25T07:00:00Z,1981,6,8115373,A319,1,Nitrite + Nitrate Nitrogen,0.213,mg/L,,NA,NA,.213||King County Nstream Database/RS3
2020-08-12T17:10:00Z,2020,8,L75129-3,A319,NA,"Conductivity, Field",80.5,umhos/cm,,0.5,10,
2016-09-14T17:42:00Z,2016,9,L66014-3,A319,NA,Total Phosphorus,0.0122,mg/L,J,0.005,0.01,Unusual Comparison: See DAF
1999-12-14T17:50:00Z,1999,12,L16886-2,A319,NA,Enterococcus,160,CFU/100ml,,NA,NA,
2003-08-12T16:55:00Z,2003,8,L29169-2,A319,NA,Nitrite + Nitrate Nitrogen,0.224,mg/L,,0.02,0.04,
2000-10-10T16:30:00Z,2000,10,L18990-2,A319,NA,"Dissolved Oxygen, Field",9.6,mg/L,,NA,NA,
1990-02-21T08:00:00Z,1990,2,9002550,A319,1,Enterococcus,33,ORG/100g,,NA,NA,33||King County Nstream Database/B53311
2016-06-15T17:20:00Z,2016,6,L65574-3,A319,NA,Storm Or Non-Storm,NA,none,,NA,NA,N
2008-07-09T17:05:00Z,2008,7,L45856-3,A319,NA,Total Nitrogen,0.145,mg/L,,0.05,0.1,
1998-11-10T17:49:00Z,1998,11,L14389-2,A319,NA,Total Phosphorus,0.0109,mg/L,,0.005,0.01,
1977-04-04T08:00:00Z,1977,4,7715085,A319,1,Ammonia Nitrogen,0.01,mg/L,,NA,NA,.010||King County Nstream Database/RVL
2016-06-15T17:20:00Z,2016,6,L65574-3,A319,NA,Nitrite + Nitrate Nitrogen,0.298,mg/L,,0.01,0.04,
1992-06-09T07:00:00Z,1992,6,9210503,A319,1,Temperature,15.5,deg C,,NA,NA,15.5||King County Nstream Database/B53311
2002-04-09T17:13:00Z,2002,4,L23626-2,A319,NA,Storm Or Non-Storm,NA,none,,NA,NA,N
1989-02-16T08:00:00Z,1989,2,8903662,A319,1,"pH, Field",7.5,pH,,NA,NA,7.5||King County Nstream Database/B53311
2019-09-11T16:34:00Z,2019,9,L72878-3,A319,NA,Silica,12.3,mg/L,,0.2,0.5,
1995-12-12T16:55:00Z,1995,12,L7505-2,A319,NA,Temperature,6.3,deg C,,NA,NA,
1994-09-20T18:00:00Z,1994,9,L4493-5,A319,NA,Fecal Coliform,41,CFU/100ml,,NA,NA,
2019-01-09T17:30:00Z,2019,1,L71578-3,A319,NA,Total Nitrogen,0.422,mg/L,,0.05,0.1,
2007-01-10T17:28:00Z,2007,1,L41465-3,A319,NA,Storm Or Non-Storm,NA,none,,NA,NA,N
2008-08-06T17:32:00Z,2008,8,L46212-3,A319,NA,Fecal Coliform,39,CFU/100ml,,NA,NA,
1976-05-25T07:00:00Z,1976,5,7615319,A319,1,Conductivity,68,umhos/cm,,NA,NA,68||King County Nstream Database/RVL
1980-01-21T08:00:00Z,1980,1,8015003,A319,1,Total Suspended Solids,2.4,mg/L,,NA,NA,2.40||King County Nstream Database/RVL
1979-02-28T08:00:00Z,1979,2,7915147,A319,1,Total Suspended Solids,10,mg/L,,NA,NA,10.00||King County Nstream Database/RVL
2001-05-15T17:26:00Z,2001,5,L20684-2,A319,NA,Nitrite + Nitrate Nitrogen,0.211,mg/L,,0.02,0.04,
2001-07-10T16:15:00Z,2001,7,L21243-2,A319,NA,Conductivity,63.6,umhos/cm,,0.5,10,
1994-11-08T18:35:00Z,1994,11,L4876-5,A319,NA,Fecal Coliform,16,CFU/100ml,,NA,NA,
1996-04-17T16:25:00Z,1996,4,L8173-2,A319,NA,Dissolved Oxygen,11.3,mg/L,,0.5,1,
1983-12-15T08:00:00Z,1983,12,8315641,A319,1,Turbidity,3.8,NTU,,NA,NA,3.8||King County Nstream Database/RS4
2015-10-14T17:33:00Z,2015,10,L63870-3,A319,NA,Fecal Coliform,14,CFU/100ml,,NA,NA,
2016-02-10T17:34:00Z,2016,2,L64766-3,A319,NA,Total Nitrogen,0.551,mg/L,,0.05,0.1,
2006-07-12T16:21:00Z,2006,7,L39677-3,A319,NA,Total Nitrogen,0.418,mg/L,,0.05,0.1,
1989-01-11T08:00:00Z,1989,1,8903190,A319,1,Storm Or Non-Storm,NA,none,,NA,NA,N||King County Nstream Database/B53311
2000-09-12T16:49:00Z,2000,9,L18591-2,A319,NA,Turbidity,1.2,NTU,,0.5,1,
2017-11-15T17:28:00Z,2017,11,L68961-3,A319,NA,Ammonia Nitrogen,0.0259,mg/L,,0.002,0.01,
1981-11-18T08:00:00Z,1981,11,8115681,A319,1,Temperature,7.5,deg C,,NA,NA,7.5||King County Nstream Database/RS3
2017-05-10T16:31:00Z,2017,5,L67690-3,A319,NA,Nitrite + Nitrate Nitrogen,0.165,mg/L,,0.01,0.04,
1990-09-12T07:00:00Z,1990,9,9009097,A319,1,Storm Or Non-Storm,NA,none,,NA,NA,N||King County Nstream Database/B53311
1984-03-15T08:00:00Z,1984,3,8415119,A319,1,Conductivity,73,umhos/cm,,NA,NA,73||King County Nstream Database/RS4
2003-01-13T17:56:00Z,2003,1,L26869-2,A319,NA,E. coli,200,CFU/100ml,,NA,NA,
1992-10-20T07:00:00Z,1992,10,9213909,A319,1,Orthophosphate Phosphorus,NA,mg/L,<MDL,0.005,NA,.005||King County Nstream Database/B53311
2004-06-16T16:27:00Z,2004,6,L32191-2,A319,NA,Total Nitrogen,0.278,mg/L,,0.05,0.1,
1988-01-13T08:00:00Z,1988,1,8802650,A319,1,Fecal Coliform,70,ORG/100ml,E,NA,NA,70||King County Nstream Database/B53311
2019-12-18T17:41:00Z,2019,12,L73754-3,A319,NA,"Dissolved Oxygen, Field",12.1,mg/L,,0.5,1,
1999-07-13T16:58:00Z,1999,7,L15911-2,A319,NA,Enterococcus,3300,CFU/100ml,,NA,NA,
1978-06-27T07:00:00Z,1978,6,7815231,A319,1,Total Suspended Solids,2.6,mg/L,,NA,NA,2.60||King County Nstream Database/RVL
1991-12-17T08:00:00Z,1991,12,9115100,A319,1,Nitrite + Nitrate Nitrogen,0.33,mg/L,,NA,NA,.330||King County Nstream Database/B53311
1979-11-26T08:00:00Z,1979,11,7916096,A319,1,Temperature,4.8,deg C,,NA,NA,4.8||King County Nstream Database/RVL
1991-06-18T07:00:00Z,1991,6,9109597,A319,1,Total Suspended Solids,4,mg/L,,NA,NA,4.00||King County Nstream Database/B53311
1980-11-05T08:00:00Z,1980,11,8015748,A319,1,Ammonia Nitrogen,0.081,mg/L,,NA,NA,.081||King County Nstream Database/RVL
2019-11-13T16:50:00Z,2019,11,L73645-3,A319,NA,"Conductivity, Field",67.7,umhos/cm,,0.5,10,
1998-11-10T17:49:00Z,1998,11,L14389-2,A319,NA,"Dissolved Oxygen, Field",11.4,mg/L,,NA,10,
2008-08-06T17:32:00Z,2008,8,L46212-3,A319,NA,Ammonia Nitrogen,0.011,mg/L,<RDL,0.01,0.02,
2021-03-10T17:48:00Z,2021,3,L76516-3,A319,NA,"Conductivity, Field",64.1,umhos/cm,,0.5,10,
2008-08-06T17:32:00Z,2008,8,L46212-3,A319,NA,Total Alkalinity,32.3,mg CaCO3/L,,1,5,
