SampleID,CollectDate,Year,Month,Locator,Nitrite_+_Nitrate_Nitrogen,Nitrite_+_Nitrate_Nitrogen_log,Nitrite_+_Nitrate_Nitrogen_units,Nitrite_+_Nitrate_Nitrogen_mdl,Nitrite_+_Nitrate_Nitrogen_rdl,Nitrite_+_Nitrate_Nitrogen_text,Nitrite_+_Nitrate_Nitrogen_orig,Ammonia_Nitrogen,Ammonia_Nitrogen_log,Ammonia_Nitrogen_units,Ammonia_Nitrogen_mdl,Ammonia_Nitrogen_rdl,Ammonia_Nitrogen_text,Ammonia_Nitrogen_orig,Total_Nitrogen,Total_Nitrogen_log,Total_Nitrogen_units,Total_Nitrogen_mdl,Total_Nitrogen_rdl,Total_Nitrogen_text,Total_Nitrogen_orig,Total_Suspended_Solids,Total_Suspended_Solids_log,Total_Suspended_Solids_units,Total_Suspended_Solids_mdl,Total_Suspended_Solids_rdl,Total_Suspended_Solids_text,Total_Suspended_Solids_orig,"Dissolved_Oxygen,_Field","Dissolved_Oxygen,_Field_log","Dissolved_Oxygen,_Field_units","Dissolved_Oxygen,_Field_mdl","Dissolved_Oxygen,_Field_rdl","Dissolved_Oxygen,_Field_text","Dissolved_Oxygen,_Field_orig","pH,_Field","pH,_Field_log","pH,_Field_units","pH,_Field_mdl","pH,_Field_rdl","pH,_Field_text","pH,_Field_orig",Orthophosphate_Phosphorus,Orthophosphate_Phosphorus_log,Orthophosphate_Phosphorus_units,Orthophosphate_Phosphorus_mdl,Orthophosphate_Phosphorus_rdl,Orthophosphate_Phosphorus_text,Orthophosphate_Phosphorus_orig,Temperature,Temperature_log,Temperature_units,Temperature_mdl,Temperature_rdl,Temperature_text,Temperature_orig,Fecal_Coliform,Fecal_Coliform_log,Fecal_Coliform_units,Fecal_Coliform_mdl,Fecal_Coliform_rdl,Fecal_Coliform_text,Fecal_Coliform_orig,Total_Alkalinity,Total_Alkalinity_log,Total_Alkalinity_units,Total_Alkalinity_mdl,Total_Alkalinity_rdl,Total_Alkalinity_text,Total_Alkalinity_orig,Turbidity,Turbidity_log,Turbidity_units,Turbidity_mdl,Turbidity_rdl,Turbidity_text,Turbidity_orig,Silica,Silica_log,Silica_units,Silica_mdl,Silica_rdl,Silica_text,Silica_orig,"Conductivity,_Field","Conductivity,_Field_log","Conductivity,_Field_units","Conductivity,_Field_mdl","Conductivity,_Field_rdl","Conductivity,_Field_text","Conductivity,_Field_orig",Total_Phosphorus,Total_Phosphorus_log,Total_Phosphorus_units,Total_Phosphorus_mdl,Total_Phosphorus_rdl,Total_Phosphorus_text,Total_Phosphorus_orig,Storm_Or_Non-Storm,Storm_Or_Non-Storm_log,Storm_Or_Non-Storm_units,Storm_Or_Non-Storm_mdl,Storm_Or_Non-Storm_rdl,Storm_Or_Non-Storm_text,Storm_Or_Non-Storm_orig,pH,pH_log,pH_units,pH_mdl,pH_rdl,pH_text,pH_orig,Enterococcus,Enterococcus_log,Enterococcus_units,Enterococcus_mdl,Enterococcus_rdl,Enterococcus_text,Enterococcus_orig,Conductivity,Conductivity_log,Conductivity_units,Conductivity_mdl,Conductivity_rdl,Conductivity_text,Conductivity_orig,Dissolved_Oxygen,Dissolved_Oxygen_log,Dissolved_Oxygen_units,Dissolved_Oxygen_mdl,Dissolved_Oxygen_rdl,Dissolved_Oxygen_text,Dissolved_Oxygen_orig,E._coli,E._coli_log,E._coli_units,E._coli_mdl,E._coli_rdl,E._coli_text,E._coli_orig
L11276-2,1997-06-10T17:40:00Z,1997,6,A319,0.1355339,-1.99853348545146,mg/L,0.05,0.1,,0.137,0.02,-3.912023005428146,mg/L,0.02,0.04,,NA,0.16213327257450097,-1.8193366117444474,mg/L,0.05,0.1,,0.159,4,1.3862943611198906,mg/L,0.5,1,,4,11.3,2.424802725718295,mg/L,NA,10,,11.3,7.3,1.9878743481543455,pH,NA,NA,,7.3,0.01554108248181253,-4.1642682786943315,mg/L,0.002,0.005,,0.0135,11.6,2.451005098112319,deg C,NA,NA,,11.6,14,2.6390573296152584,CFU/100ml,NA,NA,,14,21.9,3.086486636822455,mg CaCO3/L,0.2,1,,21.9,2.6,0.9555114450274363,NTU,0.5,1,,2.6,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.02210195369369904,-3.8120892719358737,mg/L,0.005,0.01,,0.0267,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,4,1.3862943611198906,CFU/100ml,NA,NA,,4,51.1,3.933784497209659,umhos/cm,0.5,1,,51.1,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L43407-3,2007-08-07T16:34:00Z,2007,8,0631,0.591,-0.5259392615760389,mg/L,0.02,0.04,,0.591,0.014,-4.268697949366879,mg/L,0.01,0.02,,0.014,0.77,-0.2613647641344075,mg/L,0.05,0.1,,0.77,1,0,mg/L,1,2,,1,10.1,2.3125354238472138,mg/L,0.5,1,,10.1,7.78,2.0515563381903004,pH,NA,NA,,7.78,0.0126,-4.374058465024705,mg/L,0.002,0.005,,0.0126,14.5,2.6741486494265287,deg C,NA,NA,,14.5,260,5.560681631015528,CFU/100ml,NA,NA,,260,58.4,4.067315889834181,mg CaCO3/L,1,10,,58.4,0.86,-0.15082288973458366,NTU,0.5,2,,0.86,19.8,2.9856819377004897,mg/L,0.5,1,,19.8,147,4.990432586778736,umhos/cm,0.5,10,,147,0.024,-3.7297014486341915,mg/L,0.005,0.01,,0.024,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,290,5.66988092298052,CFU/100ml,NA,NA,,290
L73614-9,2019-11-12T21:41:00Z,2019,11,0631,0.529,-0.6367668471238376,mg/L,0.01,0.04,,0.529,0.0136,-4.29768548624013,mg/L,0.002,0.01,,0.0136,0.63,-0.4620354595965587,mg/L,0.05,0.1,,0.63,3.5,1.252762968495368,mg/L,0.5,1,,3.5,11.2,2.4159137783010487,mg/L,0.5,1,,11.2,7.41,2.0028304393079956,pH,NA,NA,,7.41,0.0123,-4.398156016603766,mg/L,5e-4,0.002,,0.0123,9.4,2.2407096892759584,deg C,NA,NA,,9.4,140,4.941642422609304,CFU/100ml,NA,NA,,140,48.1,3.8732821771117156,mg CaCO3/L,1,5,,48.1,2.1,0.7419373447293773,NTU,0.2,0.5,,2.1,18,2.8903717578961645,mg/L,0.2,0.5,,18,127,4.844187086458591,umhos/cm,0.5,10,,127,0.0343,-3.372609924810243,mg/L,0.005,0.01,,0.0343,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,100,4.605170185988092,CFU/100ml,NA,NA,,100
L70507-4,2018-08-15T18:20:00Z,2018,8,0438,0.0627,-2.769393831343262,mg/L,0.01,0.04,,0.0627,0.005,-5.298317366548036,mg/L,0.002,0.01,,0.005,0.169,-1.7778565640590636,mg/L,0.05,0.1,,0.169,1.89,0.636576829071551,mg/L,0.5,1,,1.89,12.1,2.4932054526026954,mg/L,0.5,1,,12.1,8.66,2.1587147225743437,pH,NA,NA,,8.66,0.00232,-6.066188093303919,mg/L,5e-4,0.002,,0.00232,17.2,2.8449093838194073,deg C,NA,NA,,17.2,38,3.6375861597263857,CFU/100ml,NA,NA,,38,40.4,3.6988297849671046,mg CaCO3/L,1,5,,40.4,1.9,0.6418538861723947,NTU,0.2,0.5,,1.9,11.5,2.4423470353692043,mg/L,0.2,0.5,,11.5,94.6,4.549657476057832,umhos/cm,0.5,10,,94.6,0.0063,-5.06720564558465,mg/L,0.005,0.01,,0.0063,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
9107449,1991-04-09T07:00:00Z,1991,4,0631,1.4311500000000001,0.35847831688382764,mg/L,NA,NA,1.500||King County Nstream Database/B53311,1.5,0.02,-3.912023005428146,mg/L,NA,NA,.020||King County Nstream Database/B53311,0.02,0,0,,NA,NA,,0,33.3,3.505557396986398,mg/L,NA,NA,33.33||King County Nstream Database/B53311,33.3,0,0,,NA,NA,,0,7.4,2.0014800002101243,pH,NA,NA,7.4||King County Nstream Database/B53311,7.4,0.010956528959540718,-4.51381974839438,mg/L,NA,NA,.009||King County Nstream Database/B53311,0.009,7.5,2.0149030205422647,deg C,NA,NA,7.5||King County Nstream Database/B53311,7.5,130,4.867534450455582,ORG/100ml,NA,NA,130||King County Nstream Database/B53311,130,0,0,,NA,NA,,0,13,2.5649493574615367,NTU,NA,NA,13.0||King County Nstream Database/B53311,13,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.03152783669005208,-3.45688441894134,mg/L,NA,NA,.037||King County Nstream Database/B53311,0.037,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,7.4,2.0014800002101243,pH,NA,NA,7.4||King County Nstream Database/B53311,7.4,80,4.382026634673881,ORG/100g,NA,NA,80||King County Nstream Database/B53311,80,77,4.343805421853684,umhos/cm,NA,NA,77||King County Nstream Database/B53311,77,11.5,2.4423470353692043,mg/L,NA,NA,11.50||King County Nstream Database/B53311,11.5,0,0,,NA,NA,,0
8215790,1982-12-02T08:00:00Z,1982,12,0631,1.318578,0.27655388319567437,mg/L,NA,NA,1.382||King County Nstream Database/RS4,1.38,0.067,-2.703062659591171,mg/L,NA,NA,.067||King County Nstream Database/RS4,0.067,0,0,,NA,NA,,0,3.67,1.3001916620664788,mg/L,NA,NA,3.67||King County Nstream Database/RS4,3.67,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/RS4,7.3,0.01895791355828064,-3.965533832605071,mg/L,NA,NA,.017||King County Nstream Database/RS4,0.017,7.1,1.9600947840472698,deg C,NA,NA,7.1||King County Nstream Database/RS4,7.1,130,4.867534450455582,ORG/100ml,NA,NA,130||King County Nstream Database/RS4,130,0,0,,NA,NA,,0,1,0,NTU,NA,NA,1.0||King County Nstream Database/RS4,1,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.0194569859423855,-3.9395490989896644,mg/L,NA,NA,.022||King County Nstream Database/RS4,0.022,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/RS4,7.3,0,0,,NA,NA,,0,96,4.564348191467836,umhos/cm,NA,NA,96||King County Nstream Database/RS4,96,11.4,2.4336133554004498,mg/L,NA,NA,11.40||King County Nstream Database/RS4,11.4,0,0,,NA,NA,,0
L68750-3,2017-10-11T17:30:00Z,2017,10,A319,0.22,-1.5141277326297755,mg/L,0.01,0.04,,0.22,0.0314,-3.4609473860679296,mg/L,0.002,0.01,,0.0314,0.339,-1.0817551716016867,mg/L,0.05,0.1,,0.339,3.1,1.1314021114911006,mg/L,0.5,1,,3.1,10.3,2.33214389523559,mg/L,0.5,1,,10.3,7.49,2.0135687975291283,pH,NA,NA,,7.49,0.00927,-4.680971899404374,mg/L,5e-4,0.002,,0.00927,11,2.3978952727983707,deg C,NA,NA,,11,8,2.0794415416798357,CFU/100ml,NA,NA,,8,26.1,3.261935314328648,mg CaCO3/L,1,5,,26.1,1.33,0.28517894223366247,NTU,0.2,0.5,,1.33,0,0,,NA,NA,,0,67.9,4.21803603456465,umhos/cm,0.5,10,,67.9,0.0191,-3.958066943929553,mg/L,0.005,0.01,,0.0191,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L76843-13,2021-05-11T19:20:00Z,2021,5,0631,0.394,-0.9314043696842031,mg/L,0.01,0.04,,0.394,0.0053,-5.240048458424061,mg/L,0.002,0.01,,0.0053,0.545,-0.6069694843188929,mg/L,0.05,0.1,,0.545,2.1,0.7419373447293773,mg/L,0.5,1,,2.1,12.2,2.501435951739211,mg/L,0.5,1,,12.2,7.94,2.0719132752590443,pH,NA,NA,,7.94,0.00626,-5.07357509387013,mg/L,5e-4,0.002,,0.00626,12,2.4849066497880004,deg C,NA,NA,,12,0,0,,NA,NA,,0,51.4,3.9396381724611196,mg CaCO3/L,1,5,,51.4,1.14,0.131028262406404,NTU,0.2,0.5,,1.14,17.9,2.884800712846709,mg/L,0.2,0.5,,17.9,127,4.844187086458591,umhos/cm,0.5,10,,127,0.0255,-3.6690768268177565,mg/L,0.005,0.01,,0.0255,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,20,2.995732273553991,CFU/100ml,NA,NA,,20
L14-12,1993-01-20T21:50:00Z,1993,1,0631,1.0559100000000001,0.0544029543792922,mg/L,0.05,0.1,,1.1,0.04,-3.2188758248682006,mg/L,0.01,0.02,,0.04,0,0,,NA,NA,,0,30,3.4011973816621555,mg/L,1,2,,30,0,0,,NA,NA,,0,7.36,1.9960599327407849,pH,NA,NA,,7.36,0.01895791355828064,-3.965533832605071,mg/L,0.005,0.01,,0.017,4,1.3862943611198906,deg C,NA,NA,,4,290,5.66988092298052,CFU/100ml,NA,NA,,290,0,0,,NA,NA,,0,12,2.4849066497880004,NTU,0.5,1,,12,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.04471256899076065,-3.107500631412211,mg/L,0.005,0.01,,0.051,NA,NA,none,NA,NA,S,NA,0,0,,NA,NA,,0,2000,7.600902459542082,CFU/100ml,NA,NA,,2000,110,4.700480365792417,umhos/cm,0.5,1,,110,12,2.4849066497880004,mg/L,0.5,1,,12,0,0,,NA,NA,,0
L76377-4,2021-02-10T17:28:00Z,2021,2,0438,0.291,-1.2344320118106447,mg/L,0.01,0.04,,0.291,0.0078,-4.853631545286591,mg/L,0.002,0.01,,0.0078,0.427,-0.8509712657535126,mg/L,0.05,0.1,,0.427,1.43,0.3576744442718159,mg/L,0.51,1.02,,1.43,12.7,2.5416019934645457,mg/L,0.5,1,,12.7,7.58,2.0255131996542803,pH,NA,NA,,7.58,0.00683,-4.9864306053994385,mg/L,5e-4,0.002,,0.00683,5.14,1.6370530794670737,deg C,NA,NA,,5.14,0,0,,NA,NA,,0,25.7,3.246490991901174,mg CaCO3/L,1,5,,25.7,1.48,0.3920420877760237,NTU,0.2,0.5,,1.48,12.1,2.4932054526026954,mg/L,0.2,0.5,,12.1,69.7,4.244200317766478,umhos/cm,0.5,10,,69.7,0.0097,-4.6356293934728,mg/L,0.005,0.01,,0.0097,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,1,0,CFU/100ml,NA,NA,,1
L4698-5,1994-10-11T17:19:00Z,1994,10,A319,0.1316351,-2.0277215783284346,mg/L,0.05,0.1,,0.133,0.02,-3.912023005428146,mg/L,0.02,0.04,,NA,0.24595139284183884,-1.4026213526470905,mg/L,0.05,0.1,,0.242,1.4,0.3364722366212129,mg/L,0.5,1,,1.4,0,0,,NA,NA,,0,7.25,1.9810014688665833,pH,NA,NA,,7.25,0.006545666652537392,-5.028952028040723,mg/L,0.002,0.005,,0.005,0,0,,NA,NA,,0,16,2.772588722239781,CFU/100ml,NA,NA,,16,0,0,,NA,NA,,0,0.5,-0.6931471805599453,NTU,0.5,1,,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.014131728824105249,-4.259332738453293,mg/L,0.005,0.01,,0.017,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,14,2.6390573296152584,CFU/100ml,NA,NA,,14,80,4.382026634673881,umhos/cm,0.5,1,,80,11,2.3978952727983707,mg/L,0.5,1,,11,0,0,,NA,NA,,0
9007429,1990-07-18T07:00:00Z,1990,7,A319,0.29441,-1.2227819253129903,mg/L,NA,NA,.300||King County Nstream Database/B53311,0.3,0.01,-4.605170185988091,mg/L,0.01,NA,.010||King County Nstream Database/B53311,NA,0,0,,NA,NA,,0,2.4,0.8754687373538999,mg/L,NA,NA,2.40||King County Nstream Database/B53311,2.4,0,0,,NA,NA,,0,7.5,2.0149030205422647,pH,NA,NA,7.5||King County Nstream Database/B53311,7.5,0.014040503295997524,-4.2658090337337,mg/L,NA,NA,.012||King County Nstream Database/B53311,0.012,15.5,2.740840023925201,deg C,NA,NA,15.5||King County Nstream Database/B53311,15.5,50,3.912023005428146,ORG/100ml,NA,NA,50||King County Nstream Database/B53311,50,0,0,,NA,NA,,0,0.7,-0.35667494393873245,NTU,NA,NA,.7||King County Nstream Database/B53311,0.7,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.0194569859423855,-3.9395490989896644,mg/L,NA,NA,.022||King County Nstream Database/B53311,0.022,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,7.5,2.0149030205422647,pH,NA,NA,7.5||King County Nstream Database/B53311,7.5,4,1.3862943611198906,ORG/100g,NA,NA,4||King County Nstream Database/B53311,4,85,4.442651256490317,umhos/cm,NA,NA,85||King County Nstream Database/B53311,85,10.5,2.3513752571634776,mg/L,NA,NA,10.50||King County Nstream Database/B53311,10.5,0,0,,NA,NA,,0
L7587-2,1996-01-09T17:30:00Z,1996,1,A319,0.3051317,-1.1870117922962442,mg/L,0.05,0.1,,0.311,0.031,-3.473768074496991,mg/L,0.02,0.04,,0.031,0.38483039626286747,-0.9549525709431992,mg/L,0.05,0.1,,0.38,36.9,3.6082115510464816,mg/L,0.5,1,,36.9,0,0,,NA,NA,,0,7.25,1.9810014688665833,pH,NA,NA,,7.25,0.01895791355828064,-3.965533832605071,mg/L,0.002,0.005,,0.017,5.8,1.7578579175523736,deg C,NA,NA,,5.8,31,3.4339872044851463,CFU/100ml,NA,NA,,31,0,0,,NA,NA,,0,17,2.833213344056216,NTU,0.5,1,,17,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.11453544643658997,-2.166870928031149,mg/L,0.005,0.01,,0.121,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,13,2.5649493574615367,CFU/100ml,NA,NA,,13,39.5,3.676300671907076,umhos/cm,0.5,1,,39.5,12.5,2.5257286443082556,mg/L,0.5,1,,12.5,0,0,,NA,NA,,0
L15085-6,1999-02-24T21:50:00Z,1999,2,0631,1.074672,0.07201549874311401,mg/L,0.02,0.04,,1.12,0.011,-4.509860006183766,mg/L,0.01,0.02,,0.011,1.0947044672865047,0.09048443395178707,mg/L,0.05,0.1,,1.09,8.2,2.1041341542702074,mg/L,0.5,1,,8.2,11.8,2.468099531471619,mg/L,NA,10,,11.8,7.3,1.9878743481543455,pH,NA,NA,,7.3,0.010479763217055627,-4.5583091941368865,mg/L,0.002,0.005,,0.0077,8.1,2.0918640616783932,deg C,NA,NA,,8.1,32,3.4657359027997265,CFU/100ml,NA,NA,,32,26.2,3.265759410767051,mg CaCO3/L,0.2,1,,26.2,5.7,1.7404661748405046,NTU,0.5,1,,5.7,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.022914829449275177,-3.7759710038034853,mg/L,0.005,0.01,,0.0211,NA,NA,none,NA,NA,S,NA,0,0,,NA,NA,,0,40,3.6888794541139363,CFU/100ml,NA,NA,,40,0,0,,NA,NA,,0,0,0,,NA,NA,,0,39,3.6635616461296463,CFU/100ml,NA,NA,,39
L33841-2,2004-11-10T18:47:00Z,2004,11,A319,0.2398268,-1.4278382828335512,mg/L,0.02,0.04,,0.244,0.01,-4.605170185988091,mg/L,0.01,0.02,,NA,0.34563019880985596,-1.0623858650541622,mg/L,0.05,0.1,,0.341,0.9,-0.10536051565782628,mg/L,0.5,1,,0.9,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,7.3,1.9878743481543455,pH,NA,NA,,7.3,0.0073198507045779265,-4.917165346766373,mg/L,0.002,0.005,,0.00554,7.9,2.066862759472976,deg C,NA,NA,,7.9,5,1.6094379124341003,CFU/100ml,NA,NA,,5,27,3.295836866004329,mg CaCO3/L,1,10,,27,0.87,-0.13926206733350766,NTU,0.5,2,,0.87,0,0,,NA,NA,,0,63.6,4.152613470346076,umhos/cm,0.5,10,,63.6,0.013136316019754738,-4.332374669028347,mg/L,0.005,0.01,,0.0123,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,5,1.6094379124341003,CFU/100ml,NA,NA,,5
7715029,1977-02-09T08:00:00Z,1977,2,A319,0.3509426,-1.0471326016527445,mg/L,NA,NA,.358||King County Nstream Database/RVL,0.358,0.024,-3.7297014486341915,mg/L,NA,NA,.024||King County Nstream Database/RVL,0.024,0,0,,NA,NA,,0,2.3,0.8329091229351039,mg/L,NA,NA,2.30||King County Nstream Database/RVL,2.3,0,0,,NA,NA,,0,7,1.9459101490553132,pH,NA,NA,7.0||King County Nstream Database/RVL,7,0,0,,NA,NA,,0,6,1.791759469228055,deg C,NA,NA,6.0||King County Nstream Database/RVL,6,27,3.295836866004329,ORG/100ml,NA,NA,27||King County Nstream Database/RVL,27,0,0,,NA,NA,,0,1.1,0.09531017980432493,NTU,NA,NA,1.1||King County Nstream Database/RVL,1.1,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.017287671737670842,-4.05776164782971,mg/L,NA,NA,.020||King County Nstream Database/RVL,0.02,0,0,,NA,NA,,0,7,1.9459101490553132,pH,NA,NA,7.0||King County Nstream Database/RVL,7,0,0,,NA,NA,,0,76,4.330733340286331,umhos/cm,NA,NA,76||King County Nstream Database/RVL,76,12.2,2.501435951739211,mg/L,NA,NA,12.20||King County Nstream Database/RVL,12.2,0,0,,NA,NA,,0
L11966-2,1997-10-14T16:50:00Z,1997,10,A319,0.1394327,-1.970173231407007,mg/L,0.05,0.1,,0.141,0.02,-3.912023005428146,mg/L,0.02,0.04,,NA,0.26711861843306467,-1.320062455443579,mg/L,0.05,0.1,,0.263,4.2,1.4350845252893227,mg/L,0.5,1,,4.2,10.6,2.3608540011180215,mg/L,NA,10,,10.6,7.5,2.0149030205422647,pH,NA,NA,,7.5,0.011477500727139973,-4.467366618487383,mg/L,0.002,0.005,,0.00837,12.1,2.4932054526026954,deg C,NA,NA,,12.1,10,2.302585092994046,CFU/100ml,NA,NA,,10,25.4,3.2347491740244907,mg CaCO3/L,0.2,1,,25.4,1.5,0.4054651081081644,NTU,0.5,1,,1.5,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.011009088595291277,-4.509034111393208,mg/L,0.005,0.01,,0.0139,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,11,2.3978952727983707,CFU/100ml,NA,NA,,11,58.8,4.074141854904581,umhos/cm,0.5,1,,58.8,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L18127-2,2000-07-11T15:53:00Z,2000,7,A319,0.2125352,-1.548647657276801,mg/L,0.02,0.04,,0.216,0.01,-4.605170185988091,mg/L,0.01,0.02,,NA,0.3114268435866771,-1.166590820385881,mg/L,0.05,0.1,,0.307,1.6,0.47000362924573563,mg/L,0.5,1,,1.6,9.8,2.2823823856765264,mg/L,NA,NA,,9.8,7.49,2.0135687975291283,pH,NA,NA,,7.49,0.00541275420741476,-5.21899722002853,mg/L,0.002,0.005,,0.0042,13.3,2.5877640352277083,deg C,NA,NA,,13.3,80,4.382026634673881,CFU/100ml,NA,NA,12-jul-2000,80,26.1,3.261935314328648,mg CaCO3/L,0.2,10,,26.1,1,0,NTU,0.5,1,,1,0,0,,NA,NA,,0,62,4.127134385045092,umhos/cm,NA,NA,,62,0.012696100016164565,-4.366460418019323,mg/L,0.005,0.01,,0.0119,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,30,3.4011973816621555,CFU/100ml,NA,NA,,30,59.5,4.085976312551584,umhos/cm,0.5,10,,59.5,0,0,,NA,NA,,0,65,4.174387269895637,CFU/100ml,NA,NA,,65
L55640-7,2012-05-07T20:21:00Z,2012,5,0438,0.132,-2.0249533563957662,mg/L,0.01,0.04,,0.132,0.005,-5.298317366548036,mg/L,0.005,0.01,,NA,0.211,-1.5558971455060706,mg/L,0.05,0.1,,0.211,4.2,1.4350845252893227,mg/L,0.5,1,,4.2,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,7.08,1.9572739077056285,pH,NA,NA,,7.08,0.0022,-6.119297918617867,mg/L,0.002,0.005,,0.0022,10.2,2.3223877202902252,deg C,NA,NA,,10.2,5,1.6094379124341003,CFU/100ml,NA,NA,,5,17.3,2.8507065015037334,mg CaCO3/L,1,5,,17.3,1.73,0.5481214085096876,NTU,0.2,0.5,,1.73,0,0,,NA,NA,,0,42.3,3.744787086052232,umhos/cm,0.5,10,,42.3,0.0094,-4.667045589706179,mg/L,0.005,0.01,,0.0094,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L58177-9,2013-07-02T20:20:00Z,2013,7,0631,0.476,-0.7423374247507171,mg/L,0.01,0.04,,0.476,0.0247,-3.7009520353482057,mg/L,0.005,0.01,,0.0247,0.638,-0.44941699563734716,mg/L,0.05,0.1,,0.638,4.3,1.4586150226995167,mg/L,0.5,1,,4.3,9.2,2.2192034840549946,mg/L,0.5,1,,9.2,7.67,2.0373166153791646,pH,NA,NA,,7.67,0.0191,-3.958066943929553,mg/L,0.002,0.005,,0.0191,18.4,2.91235066461494,deg C,NA,NA,,18.4,63,4.143134726391533,CFU/100ml,NA,NA,,63,52.9,3.9684033388642534,mg CaCO3/L,1,5,,52.9,1.86,0.62057648772511,NTU,0.2,0.5,,1.86,0,0,,NA,NA,,0,128,4.852030263919617,umhos/cm,0.5,10,,128,0.035,-3.3524072174927233,mg/L,0.005,0.01,,0.035,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L71992-3,2019-04-10T17:02:00Z,2019,4,A319,0.219,-1.5186835491656363,mg/L,0.01,0.04,,0.219,0.0073,-4.919880930827792,mg/L,0.002,0.01,,0.0073,0.354,-1.0384583658483626,mg/L,0.05,0.1,,0.354,18.1,2.89591193827178,mg/L,0.5,1,,18.1,11.6,2.451005098112319,mg/L,0.5,1,,11.6,7.44,2.0068708488450007,pH,NA,NA,,7.44,0.0108,-4.528209144851963,mg/L,5e-4,0.002,,0.0108,7.8,2.0541237336955462,deg C,NA,NA,,7.8,510,6.234410725718371,CFU/100ml,NA,NA,,510,19.1,2.9496883350525844,mg CaCO3/L,1,5,,19.1,4.56,1.5173226235262947,NTU,0.2,0.5,,4.56,13.9,2.631888840136646,mg/L,0.2,0.5,,13.9,51.6,3.9435216724875173,umhos/cm,0.5,10,,51.6,0.0297,-3.516608233173483,mg/L,0.005,0.01,,0.0297,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,610,6.413458957167357,CFU/100ml,NA,NA,,610
