sitename,locator,latitude,longitude,site_type,area,geocoded_column
Fairweather Creek mouth downstream of 520 trail,0498,47.6365,-122.2306111,Streams and Rivers,Fairweather,POINT (-122.2306111 47.6365)
Juanita Creek mouth at NE Juanita Dr,0446,47.70536111,-122.2167778,Streams and Rivers,Juanita,POINT (-122.2167778 47.70536111)
Duwamish River - East Waterway,HNFD01,47.5769997,-122.3440018,Marine Offshore,Central Puget Sound,POINT (-122.3440018 47.5769997)
Port Susan entrance - E Camano Head,PSUSANENT,48.06,-122.33,Marine Offshore,Whidbey,POINT (-122.33 48.06)
Carkeek Outfall,CK200P,47.7126999,-122.3880005,Marine Offshore,Central Puget Sound,POINT (-122.3880005 47.7126999)
Green River at Interurban,0311,47.46547222,-122.2479444,Streams and Rivers,Green,POINT (-122.2479444 47.46547222)
Saratoga Passage - SW Camano Head,SARATOGACH,48.044,-122.369,Marine Offshore,Whidbey,POINT (-122.369 48.044)
Longfellow Creek at SW Brandon St,J370,47.55386111,-122.3669444,Streams and Rivers,Longfellow,POINT (-122.3669444 47.55386111)
Lake Sammamish near George Davis Creek,0622,47.615276,-122.06947,Large Lakes,Lake Sammamish,POINT (-122.06947 47.615276)
Seacrest Park,LSGY01,47.5890999,-122.3799973,Marine Intertidal,Central Puget Sound,POINT (-122.3799973 47.5890999)
Point Roberts Park,MTXA01,47.3869019,-122.375,Marine Intertidal,Central Puget Sound,POINT (-122.375 47.3869019)
Groveland Park Beach,GROVELDSB,47.551304,-122.23441,Swimming Beaches,Lake Washington,POINT (-122.23441 47.551304)
Elliott West Outfall,LTBC43,47.6175003,-122.3619995,Marine Offshore,Central Puget Sound,POINT (-122.3619995 47.6175003)
East Passage,NSEX01,47.3586006,-122.387001,Marine Offshore,Central Puget Sound,POINT (-122.387001 47.3586006)
Lake Sammamish near Pine Lake Creek,0621,47.60399,-122.08067,Large Lakes,Lake Sammamish,POINT (-122.08067 47.60399)
Carkeek Outfall,KSIW02,47.7089005,-122.3899994,Marine Offshore,Central Puget Sound,POINT (-122.3899994 47.7089005)
Lake Washington Madison Park,0852,47.636497,-122.26867,Large Lakes,Lake Washington,POINT (-122.26867 47.636497)
Denny Way Short Outfall,LTBC41,47.6221008,-122.3700027,Marine Offshore,Central Puget Sound,POINT (-122.3700027 47.6221008)
Andrews Bay Seward Park,0813SB,47.55136,-122.25775,Swimming Beaches,Lake Washington,POINT (-122.25775 47.55136)
Lake Washington Meydenbauer Bay,0834,47.61025,-122.211914,Large Lakes,Lake Washington,POINT (-122.211914 47.61025)
Port Susan - Stillaguamish buoy,PSUSANBUOY,48.175,-122.42,Marine Offshore,Whidbey,POINT (-122.42 48.175)
Cedar River at Bronson Way N,0438,47.48125,-122.2027889,Streams and Rivers,Cedar,POINT (-122.2027889 47.48125)
Duwamish River - Henderson/MLK Outfall,LTXQ01,47.5122986,-122.3000031,Marine Offshore,Central Puget Sound,POINT (-122.3000031 47.5122986)
